Date,Exports,Imports,Trade Balance,Currency in Circulation,Cash with Banks,Currency with the Public,Consumer Goods Manufacture,CPI,GDP,Government Expenditure,Gross Fixed Capital,Immediate Rates,Interest Rates,Share Prices,Wholesale Industry Prices
1996-07-01,2689.0,2937.0,-248.0,129229.0,4250.0,124979.0,17.6011838093215,27.89215995417219,100.834388371676,349608256630.18396,867119626804.476,12.02632421705981,11.982626034378248,9.847059336657548,39.37990058250661
1996-10-01,2665.0,3228.0,-563.0,127908.0,4276.0,123632.0,17.3686792032461,28.400053005687166,100.591657610354,360571151201.971,894042930727.039,12.104385494165284,12.112596814753427,3.705483013840455,39.55791102945553
1997-01-01,2941.0,3882.0,-941.0,132945.0,4357.0,128588.0,17.3642737830326,29.060325470479842,100.344830852583,386889329990.48303,937988330296.2949,11.885135956819191,11.87543246100516,12.452448154652933,40.14798763822239
1997-04-01,2635.0,3180.0,-545.0,143581.0,4411.0,139170.0,17.7437647597114,29.603703334663045,100.109642485528,380806977578.645,938636258931.3881,11.042559120034742,11.073390018487828,-2.03301681435388,40.81395103297983
1997-07-01,2988.0,3553.0,-566.0,147880.0,4787.0,143093.0,18.5157137771019,29.45543735576842,99.9509908962178,387576084398.841,951848686620.52,10.021936847549842,9.985521695315205,15.788212770379921,40.806259186282475
1997-10-01,3014.0,3586.0,-571.0,145573.0,4969.0,140604.0,18.1582991182095,29.959593488654022,99.9083007025799,412860066039.72797,990650845397.424,9.078289120623962,9.084447611065071,-9.345857052610567,41.29127802292152
1998-01-01,2949.0,3575.0,-625.0,148117.0,4831.0,143286.0,19.5081697247588,31.88332851617143,99.9626767951367,528697265528.191,1009742424884.6799,10.894707960417593,10.88581308925473,1.5794696487539213,42.18198545309718
1998-04-01,2714.0,3585.0,-871.0,159898.0,5157.0,154741.0,18.713188645337,32.028865472212665,100.077119779671,537441968437.561,1053837441389.72,10.038690109122493,10.0667181986253,-10.39233819216664,42.68472036986196
1998-07-01,2781.0,3922.0,-1141.0,156103.0,5815.0,150288.0,17.8506641423771,33.81615852853224,100.236411565783,536159902894.55304,1086302384142.77,9.019743162794859,8.986969525783685,-22.78416457792959,43.68998418956832
1998-10-01,2609.0,3445.0,-836.0,165308.0,6066.0,159242.0,20.0800839523626,35.54110679610655,100.439325832002,511577372299.546,1119999657334.42,9.078289120623962,9.084447611065071,10.006287308190833,43.953234477172856
1999-01-01,2743.0,3445.0,-702.0,170719.0,5832.0,164888.0,21.043543646508,34.872390564552845,100.696123293893,532657783321.30194,1148448679619.79,8.913851967614393,8.906574345753869,-4.604775690763197,44.09081417167205
1999-04-01,2735.0,3328.0,-594.0,185349.0,5892.0,179457.0,21.817467992446,34.704906451641655,100.99536965728,606634512373.48,1217881566378.82,8.030952087297994,8.05337455890024,14.446336259923525,44.39959226200401
1999-07-01,3143.0,4207.0,-1064.0,183337.0,6237.0,177100.0,21.5062472429922,34.885769382223984,101.267652501788,620913764700.311,1246315130821.78,8.017549478039873,7.988417356252165,37.77345927084321,44.558202470127526
1999-10-01,3138.0,4147.0,-1009.0,189639.0,6600.0,183039.0,21.841155581481,35.86943110831405,101.450279042448,636779807351.9769,1263635622786.73,8.069590329443523,8.075064543168951,-24.38231990692843,45.46993059645559
2000-01-01,2748.0,3879.0,-1132.0,196811.0,7157.0,189654.0,22.8199556288729,35.785715079328675,101.493739959549,622607476310.2269,1321327592897.04,7.923423971212794,7.91695497400344,55.46943742519409,45.65542787542201
2000-04-01,3310.0,4401.0,-1091.0,206388.0,7460.0,198928.0,25.3621187205547,36.62831090558698,101.350496332306,610722441728.838,1297078216270.45,7.027083076385745,7.046702739037709,-37.91156946446821,47.299284734171344
2000-07-01,3526.0,4487.0,-961.0,202877.0,7703.0,195175.0,25.9133267509741,36.613602299737735,101.058037404511,643548674180.8839,1311684578601.48,8.017549478039873,7.988417356252165,2.634490045100448,47.47293526914768
2000-10-01,3719.0,4264.0,-545.0,208352.0,7980.0,200372.0,24.6738560208282,36.85440404493666,100.70880622824,638771044792.229,1336442279622.28,8.069590329443523,8.075064543168951,7.366131145554487,48.87475861933518
2001-01-01,3666.0,4007.0,-340.0,213192.3,7503.56,205688.74,24.92343914917,36.94812809815861,100.42313286392,715345326300.338,1340717698909.96,7.923423971212794,7.91695497400344,-19.829306382009865,49.629546682946724
2001-04-01,3115.0,4094.0,-979.0,228708.21,8102.61,220605.6,27.029844586937,37.46457371165849,100.287840485086,677604575160.227,1453280698493.75,7.027083076385745,7.046702739037709,26.05459691537606,49.85600282791034
2001-07-01,3433.0,4923.0,-1490.0,227988.59,8876.31,219112.28,29.8368186028859,38.094601943337196,100.260109328737,685662147389.5339,1442683527219.71,7.015355793284889,6.989865186720644,-27.565760112007016,49.953558927888345
